
映像名称                       PID 会话名              会话#       内存使用  状态            用户名                                                 CPU 时间 窗口标题                                                                
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0          8 K Unknown         NT AUTHORITY\SYSTEM                                   714:21:54 暂缺                                                                    
svchost.exe                   7312 Services                   0      3,344 K Unknown         暂缺                                                    0:00:04 暂缺                                                                    
svchost.exe                   7556 Services                   0     12,500 K Unknown         暂缺                                                    0:01:59 暂缺                                                                    
spoolsv.exe                   7596 Services                   0      4,240 K Unknown         暂缺                                                    0:00:01 暂缺                                                                    
svchost.exe                   7668 Services                   0      5,476 K Unknown         暂缺                                                    0:00:08 暂缺                                                                    
svchost.exe                   7196 Services                   0      9,988 K Unknown         暂缺                                                    0:00:27 暂缺                                                                    
svchost.exe                   7096 Services                   0     25,896 K Unknown         暂缺                                                    0:01:39 暂缺                                                                    
esif_uf.exe                   6660 Services                   0      1,580 K Unknown         暂缺                                                    0:00:00 暂缺                                                                    
svchost.exe                   6776 Services                   0     34,468 K Unknown         暂缺                                                    0:14:15 暂缺                                                                    
sesinetd.exe                  6496 Services                   0      3,884 K Unknown         暂缺                                                    0:00:03 暂缺                                                                    
FNPLicensingService.exe       7972 Services                   0      5,868 K Unknown         暂缺                                                    0:01:29 暂缺                                                                    
hserver.exe                   8204 Services                   0      2,500 K Unknown         暂缺                                                    0:00:29 暂缺                                                                    
svchost.exe                   8228 Services                   0      2,732 K Unknown         暂缺                                                    0:03:39 暂缺                                                                    
TPMProvisioningService.ex     8244 Services                   0      1,552 K Unknown         暂缺                                                    0:00:00 暂缺                                                                    
jhi_service.exe               8380 Services                   0      1,080 K Unknown         暂缺                                                    0:00:00 暂缺                                                                    
LMS.exe                       8388 Services                   0      3,336 K Unknown         暂缺                                                    0:00:01 暂缺                                                                    
svchost.exe                   8396 Services                   0      1,084 K Unknown         暂缺                                                    0:00:00 暂缺                                                                    
RtkAudUService64.exe          8436 Services                   0      2,204 K Unknown         暂缺                                                    0:00:01 暂缺                                                                    
SurfaceDtxService.exe         8456 Services                   0      2,248 K Unknown         暂缺                                                    0:00:34 暂缺                                                                    
SurfaceColorService.exe       8464 Services                   0      2,652 K Unknown         暂缺                                                    0:00:00 暂缺                                                                    
SurfaceUsbHubFwUpdateServ     8472 Services                   0      1,672 K Unknown         暂缺                                                    0:00:00 暂缺                                                                    
TraceConceptX.exe             8600 Services                   0        880 K Unknown         暂缺                                                    0:00:00 暂缺                                                                    
svchost.exe                   8616 Services                   0        572 K Unknown         暂缺                                                    0:00:00 暂缺                                                                    
vmms.exe                      8624 Services                   0     25,552 K Unknown         暂缺                                                    0:00:03 暂缺                                                                    
svchost.exe                   8668 Services                   0     13,424 K Unknown         暂缺                                                    0:00:15 暂缺                                                                    
WTabletServicePro.exe         8684 Services                   0      2,988 K Unknown         暂缺                                                    1:44:56 暂缺                                                                    
svchost.exe                   8800 Services                   0      1,652 K Unknown         暂缺                                                    0:00:02 暂缺                                                                    
svchost.exe                   8900 Services                   0      1,740 K Unknown         暂缺                                                    0:00:00 暂缺                                                                    
Wacom_TabletUser.exe          9088 Console                    1      2,532 K Running         DESKTOP-CBSK60R\OCEAN                                   0:00:01 G                                                                       
svchost.exe                   8708 Services                   0      4,576 K Unknown         暂缺                                                    0:00:05 暂缺                                                                    
Wacom_UpdateUtil.exe          9344 Console                    1      2,688 K Running         DESKTOP-CBSK60R\OCEAN                                   0:00:01 Wacom 更新实用程序                                                      
svchost.exe                   9520 Services                   0      3,840 K Unknown         暂缺                                                    0:00:04 暂缺                                                                    
WacomHost.exe                 9744 Console                    1        960 K Unknown         暂缺                                                    0:00:00 暂缺                                                                    
svchost.exe                  10008 Services                   0      5,384 K Unknown         暂缺                                                    0:00:02 暂缺                                                                    
svchost.exe                   9576 Console                    1     27,728 K Running         DESKTOP-CBSK60R\OCEAN                                   0:02:26 暂缺                                                                    
Wacom_Tablet.exe              9604 Console                    1     25,576 K Running         暂缺                                                    0:02:29 暂缺                                                                    
svchost.exe                  10068 Services                   0      5,732 K Unknown         暂缺                                                    0:00:19 暂缺                                                                    
Wacom_TouchUser.exe           9532 Console                    1      6,428 K Running         DESKTOP-CBSK60R\OCEAN                                   0:00:47 暂缺                                                                    
vmcompute.exe                 1752 Services                   0      4,024 K Unknown         暂缺                                                    0:00:00 暂缺                                                                    
StartMenuExperienceHost.e    10860 Console                    1     67,044 K Running         DESKTOP-CBSK60R\OCEAN                                   0:01:32 启动                                                                    
svchost.exe                  11052 Services                   0      3,796 K Unknown         暂缺                                                    0:00:05 暂缺                                                                    
svchost.exe                  11096 Services                   0      1,632 K Unknown         暂缺                                                    0:00:00 暂缺                                                                    
RuntimeBroker.exe            11252 Console                    1     16,060 K Running         DESKTOP-CBSK60R\OCEAN                                   0:00:09 OLEChannelWnd                                                           
RuntimeBroker.exe            10304 Console                    1     36,240 K Running         DESKTOP-CBSK60R\OCEAN                                   0:00:47 暂缺                                                                    
SearchIndexer.exe            10292 Services                   0     20,452 K Unknown         暂缺                                                    0:01:09 暂缺                                                                    
svchost.exe                  11028 Services                   0      5,048 K Unknown         暂缺                                                    0:00:13 暂缺                                                                    
SettingSyncHost.exe          11580 Console                    1      5,628 K Running         DESKTOP-CBSK60R\OCEAN                                   0:01:29 暂缺                                                                    
ctfmon.exe                   12084 Console                    1     31,368 K Running         DESKTOP-CBSK60R\OCEAN                                   0:16:05 暂缺                                                                    
TabTip.exe                   12116 Console                    1     13,828 K Running         DESKTOP-CBSK60R\OCEAN                                   0:02:27 触摸键盘文本建议                                                        
ChsIME.exe                    3984 Console                    1     53,868 K Running         DESKTOP-CBSK60R\OCEAN                                   0:06:23 暂缺                                                                    
